sample_id	bed_lines	ref_lines	rs_lines	rs_bytes	rs_wall_s	rs_peak_rss_kb
s0000	144173	144995	144173	51876520	28.76	163072
s0001	147489	148456	147489	53076274	26.47	175680
s0002	112899	113482	112899	40612559	14.96	165944
s0003	100767	101209	100767	36215050	28.62	168544
s0004	55949	56188	55949	20060151	19.5	128036
s0005	111486	112064	111486	40087572	26.31	154916
s0006	81922	82303	81922	29450277	21.15	138064
s0007	109916	110442	109916	39523652	27.68	162716
s0008	21819	21963	21819	7835848	11.61	122356
s0009	37756	38040	37756	13574837	19.79	144124
s0010	109903	110508	109903	39540473	26.05	167972
s0011	43877	44129	43877	15773720	19.73	140224
s0012	111288	111894	111288	40026035	17.76	156888
s0013	101833	102258	101833	36615969	25.45	161724
s0014	31187	31345	31187	11184346	14.81	112140
s0015	106486	106939	106486	38269810	14.65	159396
s0016	94708	95219	94708	33999335	19.97	142060
s0017	210652	212890	210652	76083478	26.6	185348
s0018	145152	145984	145152	52218090	26.28	163900
s0019	94385	94782	94385	33920504	22.7	155356
s0020	91547	92020	91547	32895565	13.17	137332
s0021	105102	105617	105102	37804367	31.22	156504
s0022	149318	150601	149318	53780422	18.12	151368
s0023	190784	192486	190784	68773439	28.13	174416
s0024	13332	13365	13332	4751794	5.59	86504
s0025	163838	165188	163838	59033918	24.75	169280
s0026	110912	111478	110912	39887984	27.81	169348
s0027	93740	94213	93740	33673002	13.85	145352
s0028	65146	65513	65146	23401048	24.92	139224
s0029	116373	116977	116373	41876763	27.82	172540
s0030	152456	153544	152456	54998707	22.75	153736
s0031	148653	149525	148653	53524494	30.04	194136
s0032	115502	116469	115502	41564925	20.23	159660
s0033	9741	9804	9741	3484946	11.44	143280
s0034	107176	107768	107176	38529520	25.92	165976
s0035	101921	102402	101921	36645337	23.47	160584
s0036	165173	166228	165173	59445828	27.72	183852
s0037	113246	113774	113246	40700981	32.47	164032
s0038	119517	120194	119517	42969583	15.53	149392
s0039	35927	36217	35927	12920101	17.38	148380
s0040	105470	105887	105470	37924329	18.29	155856
s0041	94923	95440	94923	34156961	25.73	160060
s0042	79773	80103	79773	28642077	25.07	142660
s0043	100033	100490	100033	35965134	23.09	156580
s0044	96032	96441	96032	34535194	15.66	159784
s0045	207586	209401	207586	74902202	28.51	170108
s0046	103825	104480	103825	37317984	22.21	150236
s0047	121222	121928	121222	43576721	28.14	159164
s0048	6454	6479	6454	2305703	5.34	73536
s0049	68622	68941	68622	24676768	20.96	124268
s0050	110554	111167	110554	39746098	24.95	159084
s0051	52020	52264	52020	18653504	21.23	150888
s0052	143985	144896	143985	51890948	17.27	147576
s0053	78510	78928	78510	28187142	18.05	129364
s0054	76383	76723	76383	27419836	27.37	146804
s0055	104693	105261	104693	37641562	24.54	159020
s0056	124159	124909	124159	44669372	24.48	167484
s0057	13374	13412	13374	4774165	10.79	79520
s0058	36971	37124	36971	13247470	10.97	126584
s0059	120615	121352	120615	43449500	19.19	139548
s0060	118021	118637	118021	42469306	28.59	167960
s0061	41542	41813	41542	14905847	14.87	117116
s0062	103960	104475	103960	37360517	61.45	162092
s0063	96923	80528	96923	34818980	22.84	155160
s0064	99974	100429	99974	35923560	23.33	142424
s0065	82800	83126	82800	29705099	23.21	135084
s0066	620926	648047	620926	227339193	89.48	585556
s0067	1351835	1419805	1351835	495639934	90.63	646468
s0068	1255185	1323139	1255185	460193066	158.43	899236
s0069	975934	1035905	975934	358266428	66.42	506456
s0070	614929	641426	614929	225193451	80.12	382644
s0071	618045	646481	618045	226583799	88.18	351972
s0072	394591	407233	394591	144324694	57.31	296516
s0073	405873	419856	405873	148495721	74.2	287328
s0074	623532	649755	623532	228265826	74.88	499704
s0075	1404380	1476217	1404380	514967027	98.25	671928
s0076	543323	564914	543323	198854816	59.21	414312
s0077	500303	521156	500303	183172478	67.17	475692
s0078	1371268	1522966	1371268	505080823	193.57	607624
s0079	568143	592852	568143	208013451	80.26	432156
s0080	462309	478731	462309	169266646	85.22	312080
s0081	470123	488806	470123	171977765	67.16	338916
s0082	570406	597585	570406	209183702	128.08	1041812
s0083	540716	567879	540716	198344295	103.47	1122852
s0084	631062	673042	631062	231685358	122.76	2890700
s0085	640606	676663	640606	235338664	137.21	1241400
s0086	696755	750216	696755	256475563	145.33	1407248
s0087	723775	771594	723775	266367070	349.19	1825488
s0088	799543	845565	799543	294153528	136.12	2009620
s0089	635511	666474	635511	233226192	114.52	463852
s0090	754513	785811	754513	276085376	86.33	375132
s0091	823625	865832	823625	301938597	87.93	439872
s0092	896457	951845	896457	328921298	69.49	501044
s0093	792506	837584	792506	290662796	217.03	494468
s0094	1063776	1127576	1063776	390369466	123.05	527944
s0095	965106	1043786	965106	354630531	134.99	599100
s0096	404795	419203	404795	148197957	73.55	423756
s0097	458754	473339	458754	167698485	74.47	363992
s0098	399297	412586	399297	146038445	67.18	310376
s0099	530177	551782	530177	194101522	76.87	360492
s0100	1004575	1071806	1004575	368952018	130.12	573176
s0101	617461	647922	617461	226436355	202.88	644764
s0102	1277049	1346067	1277049	468493568	156.05	660344
s0103	620365	649715	620365	227262676	85.8	425968
s0104	1008535	1050439	1008535	369205137	118.4	520840
s0105	1169508	1229141	1169508	428807676	125.94	567224
s0106	465008	478572	465008	169926518	80.29	296676
s0107	1009577	1078954	1009577	370786046	123.39	519188
s0108	546016	565501	546016	199858680	65.18	365644
s0109	327021	336136	327021	119481949	46.16	305464
s0110	1009709	1061460	1009709	369940348	102.13	489748
s0111	1011546	1091378	1011546	371745111	187.03	785012
s0112	449132	462426	449132	164209617	41.9	318800
s0113	477343	499498	477343	174735050	63.95	563848
s0114	1189361	1274549	1189361	437176836	144.9	557572
s0115	484958	501497	484958	177317705	51.07	388076
s0116	855066	892757	855066	312989543	101.56	439644
s0117	518400	538194	518400	189851185	86.25	552076
s0118	473991	490373	473991	173238019	68.75	543376
s0119	859024	904978	859024	314922577	109.64	405428
s0120	979383	1036518	979383	359388933	133.91	624136
s0121	665405	698515	665405	244199924	102.08	1999308
s0122	560844	587324	560844	205582164	76.65	611752
s0123	391219	406318	391219	143213425	60.79	299704
s0124	396866	409017	396866	145073259	47.64	275920
s0125	1333667	1444617	1333667	490760436	115.24	3128980
s0126	773665	821294	773665	284051855	140.19	924660
s0127	623021	646740	623021	228172434	77.92	355116
