sample_id	bed_lines	ref_lines	rs_lines	rs_bytes	rs_wall_s	rs_peak_rss_kb
sample_001	120615	121352	120615	43449500	22.45	137696
sample_002	1019473	1134274	1019473	374882971	327.48	519752
sample_003	604828	632110	604828	221673217	89.99	427976
sample_004	385473	396686	385473	140971838	70.33	377264
sample_005	1039912	1089705	1039912	381297608	542.62	2746904
sample_006	1079170	1099022	1079170	395667621	156.78	1313696
sample_007	412570	431523	412570	151429058	132.87	1577072
sample_008	818625	870740	818625	300703341	220.34	3197948
sample_009	858736	910673	858736	315042133	228.51	4411424
sample_010	503916	525613	503916	184848729	129.89	768244
sample_011	1810534	1970538	1810534	667168672	398.08	3043292
sample_012	488308	502421	488308	179044440	137.42	1967860
sample_013	523534	564621	523534	192131566	113.84	396448
sample_014	714429	760264	714429	262052785	105.22	384904
sample_015	176307	183424	176307	64385949	67.03	323708
sample_016	360170	374015	360170	131714550	175.93	608848
sample_017	372607	391086	372607	136287834	92.57	1862876
sample_018	304501	316222	304501	111485354	89.21	667264
sample_019	270019	278194	270019	98714786	72.60	537288
sample_020	351383	363667	351383	128576549	87.58	1801172
sample_021	330246	346995	330246	121247165	97.15	562384
sample_022	318790	330046	318790	116737938	177.97	881684
sample_023	527621	546872	527621	193011634	556.45	463360
sample_024	717665	754724	717665	263559940	930.72	1422384
sample_025	572383	596352	572383	209643091	645.44	452004
sample_026	770599	753819	770599	282141158	580.64	442988
sample_027	1342120	1418220	1342120	492289752	1166.74	651172
sample_028	429608	446013	429608	157292754	422.56	427476
sample_029	137571	138337	137571	49444134	158.27	175236
sample_030	59859	60099	59859	21492462	151.29	140616
sample_031	27832	28035	27832	9996692	110.55	147904
sample_032	98846	99372	98846	35537200	163.92	156420
sample_033	97666	98194	97666	35103339	161.13	151892
sample_034	102402	102839	102402	36799366	80.80	155752
sample_035	147489	148456	147489	53076274	89.05	177688
